기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,평균소득,중위소득,평균처분가능소득,중위처분가능소득,소득분위배율,소득점유율,소득경계값,소득산출인구수,소득미산출인구수,소득미산출인구포함평균소득
2016-12-31,2820000000,인천광역시,남동구,2,15,2,3,,,,,,,,1,1,
2016-12-31,2820000000,인천광역시,남동구,1,70,3,1,1307,1400,420,612,100,6.1,1600,69,69,1307
2016-12-31,2820000000,인천광역시,남동구,1,50,1,4,2338,2400,558,1562,188.5,0.9,2400,110,110,2338
2016-12-31,2820000000,인천광역시,남동구,1,20,4,8,3372,3300,2125,2581,223.9,0.8,3600,107,107,3372
2016-12-31,2820000000,인천광역시,남동구,1,0,1,2,1812,1800,-263,571,145.2,1.1,2000,510,510,1812
2016-12-31,2820000000,인천광역시,남동구,0,60,3,0,3319,3000,2552,2500,258.4,100,31700,5151,5151,3319
2016-12-31,2820000000,인천광역시,남동구,0,40,1,4,2336,2400,839,1359,188.8,1.5,2400,262,262,2336
2016-12-31,2820000000,인천광역시,남동구,0,15,4,6,,,,,,,,1,1,
2016-12-31,2814000000,인천광역시,동구,2,80,4,0,1517,1500,1352,1500,101.2,100,3300,323,349,1404
2016-12-31,2814000000,인천광역시,동구,2,80,1,1,,,,,,,,7,7,
2016-12-31,2814000000,인천광역시,동구,2,80,0,3,,,,,,,,5,5,
2016-12-31,2814000000,인천광역시,동구,2,70,4,6,2732,2700,2480,2700,199.2,6.4,2900,62,62,2732
2016-12-31,2814000000,인천광역시,동구,2,70,4,2,1884,1900,1684,1800,137.3,15.8,2000,223,223,1884
2016-12-31,2814000000,인천광역시,동구,2,70,3,5,,,,,,,,3,3,
2016-12-31,2814000000,인천광역시,동구,2,70,1,10,,,,,,,,1,1,
2016-12-31,2814000000,인천광역시,동구,2,70,1,6,,,,,,,,8,8,
2016-12-31,2814000000,인천광역시,동구,2,70,1,2,,,,,,,,1,1,
2016-12-31,2814000000,인천광역시,동구,2,70,0,5,2538,2500,2461,2500,186.6,19.2,2700,217,217,2538
2016-12-31,2814000000,인천광역시,동구,2,70,0,1,1360,1500,812,570,100,3.3,1600,70,121,787
2016-12-31,2814000000,인천광역시,동구,2,60,4,0,2752,2300,2534,2200,208.6,100,999900,2619,2691,2679
2016-12-31,2814000000,인천광역시,동구,2,60,3,7,3014,3000,2793,3000,226,10.4,3100,22,22,3014
2016-12-31,2814000000,인천광역시,동구,2,60,3,3,2100,2100,1618,2000,157.5,9.2,2200,28,28,2100
2016-12-31,2814000000,인천광역시,동구,2,60,2,5,,,,,,,,1,1,
2016-12-31,2814000000,인천광역시,동구,2,60,1,10,193382,8000,189013,7564,14503.6,75.7,999900,11,11,193382
2016-12-31,2814000000,인천광역시,동구,2,60,1,6,2789,2800,2271,2411,209.2,2.8,2900,28,28,2789
2016-12-31,2814000000,인천광역시,동구,2,60,0,9,4117,4100,3243,3600,310.8,3.1,4600,81,81,4117
2016-12-31,2814000000,인천광역시,동구,2,60,0,5,2550,2600,2386,2500,192.4,12.4,2700,524,524,2550
2016-12-31,2814000000,인천광역시,동구,2,60,0,1,1325,1400,660,414,100,1.9,1600,153,225,901
2016-12-31,2814000000,인천광역시,동구,2,50,4,4,2350,2400,2105,2300,183.6,11.9,2400,412,412,2350
2016-12-31,2814000000,인천광역시,동구,2,50,4,0,2675,2600,2335,2500,209.1,100,12300,3034,3150,2577
2016-12-31,2814000000,인천광역시,동구,2,50,3,7,3007,3000,2690,2900,236.3,14,3100,115,115,3007
2016-12-31,2814000000,인천광역시,동구,2,50,2,10,5779,5600,5404,5221,444.5,66.5,7900,28,28,5779
2016-12-31,2814000000,인천광역시,동구,2,50,2,6,,,,,,,,2,2,
2016-12-31,2814000000,인천광역시,동구,2,50,2,0,4434,4450,3999,4150,341.1,100,7900,58,58,4434
2016-12-31,2814000000,인천광역시,동구,2,50,1,3,2050,2000,1038,1232,152.2,1.5,2200,12,12,2050
2016-12-31,2814000000,인천광역시,동구,2,50,0,10,6038,5500,4027,4880,468.7,7,14400,145,145,6038
2016-12-31,2814000000,인천광역시,동구,2,50,0,6,2756,2700,2463,2700,213.9,15.1,2900,684,684,2756
2016-12-31,2814000000,인천광역시,동구,2,40,4,9,4010,4000,3127,3600,309,5.7,4600,109,109,4010
2016-12-31,2814000000,인천광역시,동구,2,40,4,5,2557,2600,2369,2500,197,30.6,2700,914,914,2557
2016-12-31,2814000000,인천광역시,동구,2,40,4,1,1298,1300,377,0,100,1.6,1600,92,238,502
