cus_tpc,ag_cnm,sex_dsc,jobnm,waa_provnm,gen_cwnm,sal_gugan,sum_sal,nps_am,mil_am,tp_am,geps_am,rvgtp_bac,rvgtp_bcsr_isrfe_aam,dffm_bac,ts_bac,be_bac,dffm_bcsr_isrfe_aam,frnd_bac,hh_am,gagye_am,dambo_am,gagye_ovd,dambo_ovd,jutaek_bac,sinyoung_bac,gita_bac,ejubi_bac,jungdogem_bac,jangem_bac,jutaekdambo_bac,jensaejagem_bac,jutaekgita_bac,woorsy_bac,gitasiny_bac,gitadambo_bac,jutaek_ovd,sinyoung_ovd,gita_ovd,ejubi_ovd,jungdogem_ovd,jangem_ovd,jutaekdambo_ovd,jensaejagem_ovd,jutaekgita_ovd,woorsy_ovd,gitasiny_ovd,gitadambo_ovd,ccd_us_cn,crdsel_us_cn,ocepay_us_cn,dome_ocepay_us_cn,fr_ocepay_us_cn,ist_us_cn,nint_ist_us_cn,chsv_us_cn,cdln_us_cn,chk_cd_us_cn,chk_cd_ocepay_us_cn,dome_chk_cd_ocepay_us_cn,fr_chk_cd_ocepay_us_cn,ltpy_traf_us_cn,hips_us_cn,msf_cd_us_am,fam_cd_us_am,ccd_us_am,crdsel_us_am,ocepay_us_am,dome_ocepay_us_am,fr_ocepay_us_am,ist_us_am,nint_ist_us_am,chsv_us_am,cdln_us_am,chk_cd_us_am,chk_cd_ocepay_us_am,dome_chk_cd_ocepay_us_am,fr_chk_cd_ocepay_us_am,ltpy_traf_us_am,hips_us_am
1,30대,2,교직원,경기,의왕시,300만원미만,2431948,0,0,0,0,2700666.667,0,3465092.5,5786234.333,49751.5,0,744854.3333,2436666.667,6333333.333,0,0,0,0,6333333.333,0,0,0,0,0,0,0,0,6333333.333,0,0,0,0,0,0,0,0,0,0,0,0,0,5.541666667,5.541666667,5.541666667,0.291666667,0,0,0,0,0,12.375,12.375,12.1944445,0.1805555,1.097222167,0,386581.5,0,117528.3194,117528.3194,117528.3194,27406.25,0,0,0,0,0,269053.1806,269053.1806,268442.375,610.805556,6409.027778,0
3,60대,1,개인사업자,전북,전주시,500만원미만,4400671.615,4427912.308,0,1750065.641,1720932.051,7267948.718,2146186.667,0,2658337.436,4715351.231,6902.564103,37996304.31,2562820.513,29502630.62,15887065.64,0,0,10511336.87,13615564.97,5375728.769,0,0,7983131.744,2528205.128,0,0,6666666.667,6948898.308,5375728.769,0,0,0,0,0,0,0,0,0,0,0,0,15.1388889,15.09401713,14.40384623,13.93162397,0.008547,0.690170897,0.683760641,0.040598308,0.004273513,0.724358949,0.724358949,0.724358949,0,0.115384641,0.517094,652561.1218,0,879028.5705,781378.9979,543838.3654,534856.8718,599.869658,237540.6325,233771.8889,63675.21368,33974.35897,18442.67094,18442.67094,18442.67094,0,1172.970085,3461.581197
1,60대,1,기타직업군,강원,동해시,500만원미만,4504166.04,498715.2,11547390.4,0,18260109.6,884400,0,5758162.56,605915.04,8.28,4200000,13149992.6,660400,12285227.2,10000000,0,0,0,2285227.2,10000000,0,0,0,0,0,0,0,2285227.2,10000000,0,0,0,0,0,0,0,0,0,0,0,0,7.00333336,6.98000004,6.79666668,5.84333332,0,0.18333332,0.17999996,0.02333332,0,8.99,8.99,8.98333332,0.00666668,0.30333332,0.01,577556.2233,0,309823.53,296490.1967,223065.2967,189983.6633,0,73424.9,73024.9,13333.33333,0,267732.6933,267732.6933,267106.2933,626.4,3197,12.833333
3,40대,2,개인사업자,충남,계룡시,400만원미만,3688060.625,1727066.25,0,0,0,450000,1876725,0,0,0,0,8141502.75,225000,2735000,2735000,0,0,2735000,0,0,0,2735000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3645835,9.2083335,8.8125,8.8125,0,0.395833375,0.385416625,0.15625,0,11.91666675,11.91666675,11.91666675,0,0.0625,0,1125987.594,0,714174.5625,566257.8958,363884.9479,363884.9479,0,202372.9479,185198.7292,147916.6667,0,661445.4896,661445.4896,661445.4896,0,377.604167,0
1,50대,2,일반공무원,경기,포천시,200만원미만,160715.5976,0,0,0,0,886704.2683,0,428520.8902,807884.6098,755383.2927,463414.6341,3771970.585,511829.2683,5543757.39,2865220.805,0,0,2865220.805,2678536.585,0,0,836097.561,917317.0732,1111806.171,0,0,1707317.073,971219.5122,0,0,0,0,0,0,0,0,0,0,0,0,0,6.917682951,6.900406512,6.654471561,6.048780488,0.00304878,0.245934939,0.226626,0.014227634,0.00304878,6.746951207,6.746951207,6.742886171,0.004065037,0.328252012,0.05386178,468919.2967,0,275328.8577,241731.2967,191816.7185,178739.7429,131.873984,49914.57825,42994.68902,4227.642276,29369.9187,193590.439,193590.439,193300.9024,289.536585,5067.205285,269.715447
1,40대,2,일반공무원,대구,수성구,400만원미만,3561138.124,48616.99115,0,0,45992.92035,4491880.991,1103539.823,2591700.788,472433.6283,1219960.664,159292.0354,6460443.531,2366891.504,38664586.66,15572373.21,0,0,15129895.34,23092213.45,442477.8761,0,420442.4779,5106194.69,6239098.876,2168141.593,1196017.699,13532000.1,9560213.354,442477.8761,0,0,0,0,0,0,0,0,0,0,0,0,8.010324513,7.977138673,7.628318584,7.095132726,0.014749265,0.348820027,0.346607646,0.025811195,0.007374628,8.646017673,8.646017673,8.644542743,0.00147492,0.370206504,0.185103239,652435.7647,0,423373.8968,330350.2979,260800.2876,242985.2471,820.714602,69550.01032,68792.85693,46637.16814,46386.43068,229061.868,229061.868,229023.5089,38.359145,3693.377581,1286.946903
1,40대,2,일반공무원,경북,고령군,200만원미만,385096.9286,0,0,0,0,4321971.25,428571.4286,285714.2857,1639413.929,59663.17857,0,5435361.679,2410464.286,6795000,1404285.714,0,0,1404285.714,5390714.286,0,0,0,0,1404285.714,0,0,1997857.143,3392857.143,0,0,0,0,0,0,0,0,0,0,0,0,0,6.800595286,6.711309536,6.42559525,6.42559525,0,0.285714286,0.267857179,0.089285714,0,5.848214286,5.848214286,5.848214286,0,0.285714214,0,381389.6488,0,261525.9732,214323.5923,159133.8899,159133.8899,0,55189.70238,46311.72619,47202.38095,0,119863.6756,119863.6756,119863.6756,0,3145.952381,0
1,70대이상,1,개인사업자,경기,포천시,200만원미만,10406.58889,443412.1111,0,0,0,76444.44444,0,7168082.778,78894.83333,0,0,3130053.489,76444.44444,1146666.667,1146666.667,0,0,1146666.667,0,0,0,1146666.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.806481489,2.782407411,2.724999989,2.568518511,0.000925922,0.0574074,0.046296289,0.024074078,0,1.090740756,1.090740756,1.090740756,0,0.132407411,0.047222222,143383.6037,2435.398148,119833.4417,111129.738,85349.08982,80134.57407,8.876852,25780.64815,19540.16759,8703.703704,0,30203.29259,30203.29259,30203.29259,0,1014.240741,242.305556
1,60대,1,교사,서울,금천구,200만원미만,116666.6667,0,0,0,0,0,0,0,65834,0,0,1250552.583,0,21333333.33,21333333.33,0,0,21333333.33,0,0,0,0,0,0,21333333.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.930555583,1.930555583,1.923611167,1.923611167,0,0.006944417,0.006944417,0,0,2.986111083,2.986111083,2.986111083,0,0.027777833,0,194563.7014,0,82454.65972,82454.65972,72810.5625,72810.5625,0,9644.097222,9644.097222,0,0,112109.0417,112109.0417,112109.0417,0,61.111111,0
1,40대,2,일반공무원,부산,해운대구,200만원미만,136545.5185,6746.666667,0,0,0,1609455.442,117663.8177,639576.0171,89979.25926,148624.4786,183401.7094,2506863.755,947318.6895,6321321.801,3141318.812,0,0,3018578.171,3093735.182,209008.4473,0,86267.80627,0,670202.1026,2262108.262,0,1672053.245,1421681.937,209008.4473,0,0,0,0,0,0,0,0,0,0,0,0,3.43043686,3.423314356,3.317663835,3.172839519,0.016619179,0.105650521,0.095679006,0.006647672,0.000474832,0.910493826,0.910493826,0.910493826,0,0.148385564,0.054605883,142497.7258,0,118960.0192,108221.6527,89216.099,85938.74145,523.948243,19005.55366,17014.22887,8957.739791,1780.626781,23537.70655,23537.70655,23537.70655,0,1999.423077,221.688034
1,20대,2,기타직업군,전북,김제시,200만원미만,73212.65882,6033.823529,0,0,0,431265.8824,0,117647.0588,11260.88235,28533.92941,29411.76471,435949.1765,212971.7647,105882.3529,0,0,0,0,105882.3529,0,0,0,0,0,0,0,0,105882.3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905882353,0.905882353,0.877450988,0.851960794,0.025490194,0.028431376,0.0259804,0,0,10.1897059,10.1897059,10.12401962,0.065686282,0.041176471,0,214440.0025,0,28246.70931,28246.70931,19872.31814,19729.80686,142.511275,8374.391176,7498.459804,0,0,186193.2931,186193.2931,176885.3647,9307.928431,240.661765,0
1,50대,1,전문직,전남,순천시,200만원미만,6313.729323,83620.97744,0,0,0,2070577.368,270676.6917,1248709.97,1421649.233,17168.89474,263157.8947,2997431.571,1131780.376,4692583.82,3061817.526,0,0,2843772.414,1630766.293,218045.1128,0,477067.6692,1842105.263,524599.4812,0,0,532330.8271,1098435.466,218045.1128,0,0,0,0,0,0,0,0,0,0,0,0,3.204260624,3.147869647,3.068295722,2.97243106,0.003759398,0.079573917,0.074561383,0.056390977,0,3.625313286,3.625313286,3.598370932,0.026942353,0.025062654,0.085839594,265887.4399,0,175284.9399,156707.2456,118120.9831,113994.1297,1106.435464,38586.26253,36569.15727,18577.69424,0,103536.1642,103536.1642,103143.3064,392.857769,119.818296,440.538847
1,20대,1,경찰공무원,광주,광산구,200만원미만,22579.4,0,0,0,0,1355000,0,0,0,0,0,804759,1355000,27100000,27100000,0,0,19100000,0,8000000,0,0,0,0,19100000,0,0,0,8000000,0,0,0,0,0,0,0,0,0,0,0,0,1.0166667,1.0166667,1.0166667,1.0083334,0.0083333,0,0,0,0,5.3083334,5.3083334,5.3083334,0,0,0,126926.7417,0,61575.49167,61575.49167,61575.49167,57544.49167,4031,0,0,0,0,65351.25,65351.25,65351.25,0,0,0
1,30대,2,회사원,서울,금천구,500만원미만,4343049.667,0,0,0,0,11756666.67,0,25000000,16295600,9117547.333,0,1511288.333,3640000,32913333.33,16246666.67,0,0,16246666.67,16666666.67,0,0,0,0,16246666.67,0,0,16666666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.33333317,27.33333317,27.33333317,6.75,-0.013888833,0,0,0,0,0.722222333,0.722222333,0.722222333,0,1.3194445,0.666666667,647426.7083,0,622536.8472,622536.8472,622536.8472,182989.1389,3284.569445,0,0,0,0,24889.86111,24889.86111,24889.86111,0,12082.08333,2367.083333
1,70대이상,1,교사,대전,중구,400만원미만,3482922.333,0,0,0,41012351.67,0,0,0,0,0,0,1762280,0,10357857.67,9166666.667,0,0,9166666.667,1191191,0,0,0,0,9166666.667,0,0,0,1191191,0,0,0,0,0,0,0,0,0,0,0,0,0,5.541666833,5.541666833,5.500000167,5.472222333,0,0.041666667,0.027777833,0,0,0.3194445,0.3194445,0.3194445,0,0.236111167,0.0555555,227434.0972,0,214557.4306,214557.4306,199780.4861,171803.125,0,14776.94445,9582.5,0,0,12876.66667,12876.66667,12876.66667,0,1942.361111,322.222222
1,40대,1,교사,경기,이천시,300만원미만,2100008,0,0,0,0,3400000,10200000,0,0,0,0,134328,3400000,82999955,54000000,0,0,54000000,28999955,0,0,0,0,54000000,0,0,9006111,19993844,0,0,0,0,0,0,0,0,0,0,0,0,0,30.416667,27.666667,26.833333,26.833333,0,0.833333,0.833333,2.75,0,18.5,18.5,18.166667,0.333333,0.25,0,1966259.583,0,1761624.667,1108291.333,786123,786123,0,322168.3333,322168.3333,653333.3333,0,204634.9167,204634.9167,201858.0833,2776.833333,1791.666667,0
