시군구명,성별,연령,직업구분,소득분위,평균소득,평균소비,,,,,,,,
강화군,0,0,0,0,2789,11497,,,,,,,,
강화군,0,0,0,1,1376,7528,,,,,,,,
강화군,0,0,0,2,1815,5393,,,,,,,,
강화군,0,0,0,3,2062,6525,,,,,,,,
강화군,0,0,0,4,2322,7753,,,,,,,,
강화군,0,0,0,5,2548,8344,,,,,,,,
강화군,0,0,0,6,2759,11893,,,,,,,,
강화군,0,0,0,7,3009,15594,,,,,,,,
강화군,0,0,0,8,3358,17004,,,,,,,,
강화군,0,0,0,9,4030,24583,,,,,,,,
강화군,0,0,0,10,8655,31805,,,,,,,,
강화군,0,0,1,0,4070,22518,,,,,,,,
강화군,0,0,1,1,1246,21427,,,,,,,,
강화군,0,0,1,2,1833,21625,,,,,,,,
강화군,0,0,1,3,2029,14457,,,,,,,,
강화군,0,0,1,4,2348,16955,,,,,,,,
강화군,0,0,1,5,2539,17411,,,,,,,,
강화군,0,0,1,6,2778,15041,,,,,,,,
강화군,0,0,1,7,3021,15389,,,,,,,,
강화군,0,0,1,8,3381,14045,,,,,,,,
강화군,0,0,1,9,3955,26179,,,,,,,,
강화군,0,0,1,10,10313,47904,,,,,,,,
강화군,0,0,2,0,4798,23907,,,,,,,,
강화군,0,0,2,1,1267,14342,,,,,,,,
강화군,0,0,2,2,,,,,,,,,,
강화군,0,0,2,3,,,,,,,,,,
강화군,0,0,2,4,2315,19202,,,,,,,,
강화군,0,0,2,5,2500,17630,,,,,,,,
강화군,0,0,2,6,2775,20321,,,,,,,,
강화군,0,0,2,7,3020,23795,,,,,,,,
강화군,0,0,2,8,3400,18552,,,,,,,,
강화군,0,0,2,9,4112,19639,,,,,,,,
강화군,0,0,2,10,6652,29254,,,,,,,,
강화군,0,0,3,0,3321,17630,,,,,,,,
강화군,0,0,3,1,1318,13039,,,,,,,,
강화군,0,0,3,2,1803,12716,,,,,,,,
강화군,0,0,3,3,2078,14507,,,,,,,,
강화군,0,0,3,4,2320,13372,,,,,,,,
강화군,0,0,3,5,2558,13386,,,,,,,,
강화군,0,0,3,6,2765,14548,,,,,,,,
강화군,0,0,3,7,3010,16241,,,,,,,,
강화군,0,0,3,8,3370,18930,,,,,,,,
강화군,0,0,3,9,4073,22307,,,,,,,,
강화군,0,0,3,10,7137,27178,,,,,,,,
강화군,0,0,4,0,2420,7537,,,,,,,,
강화군,0,0,4,1,1405,4873,,,,,,,,
강화군,0,0,4,2,1816,4270,,,,,,,,
강화군,0,0,4,3,2062,5203,,,,,,,,
강화군,0,0,4,4,2322,6554,,,,,,,,
강화군,0,0,4,5,2548,7178,,,,,,,,
강화군,0,0,4,6,2756,10431,,,,,,,,
강화군,0,0,4,7,3005,15177,,,,,,,,
강화군,0,0,4,8,3321,19866,,,,,,,,
강화군,0,0,4,9,4066,26167,,,,,,,,
강화군,0,0,4,10,10408,20963,,,,,,,,
강화군,0,15,0,0,1782,1924,,,,,,,,
강화군,0,15,0,1,1504,1225,,,,,,,,
강화군,0,15,0,2,1771,2615,,,,,,,,
강화군,0,15,0,3,2100,7539,,,,,,,,
강화군,0,15,0,4,2276,1035,,,,,,,,
강화군,0,15,0,8,,,,,,,,,,
강화군,0,15,2,0,,,,,,,,,,
강화군,0,15,2,3,,,,,,,,,,
강화군,0,15,2,4,,,,,,,,,,
강화군,0,15,2,8,,,,,,,,,,
강화군,0,15,3,0,,,,,,,,,,
강화군,0,15,3,1,,,,,,,,,,
강화군,0,15,4,0,1782,1892,,,,,,,,
강화군,0,15,4,1,1508,1167,,,,,,,,
강화군,0,15,4,2,1771,2615,,,,,,,,
강화군,0,15,4,3,2100,9354,,,,,,,,
강화군,0,15,4,4,2276,83,,,,,,,,
강화군,0,20,0,0,1856,7994,,,,,,,,
강화군,0,20,0,1,1451,6800,,,,,,,,
강화군,0,20,0,2,1781,5719,,,,,,,,
강화군,0,20,0,3,2064,12567,,,,,,,,
강화군,0,20,0,4,2290,16724,,,,,,,,
강화군,0,20,0,5,2532,19911,,,,,,,,
강화군,0,20,0,6,2757,21337,,,,,,,,
강화군,0,20,0,7,3003,24019,,,,,,,,
강화군,0,20,0,8,3364,23493,,,,,,,,
강화군,0,20,0,9,4049,30356,,,,,,,,
강화군,0,20,0,10,6921,49041,,,,,,,,
강화군,0,20,1,0,2972,25342,,,,,,,,
강화군,0,20,1,1,,,,,,,,,,
강화군,0,20,1,2,,,,,,,,,,
강화군,0,20,1,3,,,,,,,,,,
강화군,0,20,1,4,,,,,,,,,,
강화군,0,20,1,5,2583,16083,,,,,,,,
강화군,0,20,1,6,2757,14353,,,,,,,,
강화군,0,20,1,7,,,,,,,,,,
강화군,0,20,1,8,,,,,,,,,,
강화군,0,20,1,9,,,,,,,,,,
강화군,0,20,1,10,,,,,,,,,,
강화군,0,20,2,0,2781,15827,,,,,,,,
강화군,0,20,2,1,,,,,,,,,,
강화군,0,20,2,3,,,,,,,,,,
강화군,0,20,2,4,,,,,,,,,,
