기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2016-12-31,2820000000,인천광역시,남동구,0,0,0,3,296308759,92537860,3011845,9814,4084,632,30193,22660,4765,26556837,7889361,316840,971,456,206,27354,17301,1539
2016-12-31,2820000000,인천광역시,남동구,0,0,1,8,135451592,14705899,1060300,19115,3844,943,7086,3826,1124,12094646,1410597,100858,1776,557,360,6811,2531,280
2016-12-31,2820000000,인천광역시,남동구,0,0,3,2,112820529,31910636,1439603,14027,4529,648,8043,7046,2221,10282932,2669801,183456,1316,466,244,7814,5734,751
2016-12-31,2820000000,인천광역시,남동구,0,0,4,7,225069908,45991181,2091054,17918,5383,918,12561,8543,2277,19095183,3798411,210030,1575,593,337,12123,6406,624
2016-12-31,2820000000,인천광역시,남동구,0,15,1,1,,,,,,,1,1,0,,,,,,,1,1,0
2016-12-31,2820000000,인천광역시,남동구,0,15,3,3,72887,68855,,4049,3825,,18,18,0,8577,4915,,477,273,,18,18,0
2016-12-31,2820000000,인천광역시,남동구,0,20,0,0,621958688,324328285,9984047,9750,5155,789,63792,62915,12660,56828165,27897129,1068748,939,493,234,60497,56621,4565
2016-12-31,2820000000,인천광역시,남동구,0,20,1,5,2134738,542078,229410,24823,6531,6373,86,83,36,215439,46182,32828,2596,689,2984,83,67,11
2016-12-31,2820000000,인천광역시,남동구,0,20,2,10,4683638,1069288,224475,32080,7693,2004,146,139,112,360069,83933,19035,2483,699,433,145,120,44
2016-12-31,2820000000,인천광역시,남동구,0,20,4,4,31551114,14940006,518258,18916,9104,854,1668,1641,607,2678197,1134067,47058,1642,777,219,1631,1460,215
2016-12-31,2820000000,인천광역시,남동구,0,30,0,9,247746958,36214793,5381626,31532,5526,1445,7857,6554,3725,21720975,2856135,467611,2800,569,354,7757,5022,1320
2016-12-31,2820000000,인천광역시,남동구,0,30,2,3,1496044,386997,18206,17001,4663,552,88,83,33,151584,43917,2218,1805,646,171,84,68,13
2016-12-31,2820000000,인천광역시,남동구,0,30,2,10,40938159,5439747,1662592,33095,5429,2126,1237,1002,782,3348683,427588,144863,2720,550,472,1231,778,307
2016-12-31,2820000000,인천광역시,남동구,0,30,3,8,91126502,15283746,1698500,26475,5216,1101,3442,2930,1543,7943273,1217868,164160,2334,542,300,3404,2248,547
