기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,평균소득,중위소득,평균처분가능소득,중위처분가능소득,소득분위배율,소득점유율,소득경계값,소득산출인구수,소득미산출인구수,소득미산출인구포함평균소득
2018-06-30,2820000000,인천광역시,남동구,0,60,1,6,2807,2800,2087,2511,230.6,3,2900,276,276,2807
2018-06-30,2820000000,인천광역시,남동구,0,30,4,10,15968,5700,14119,4561,1204.1,11.4,999900,855,855,15968
2018-06-30,2820000000,인천광역시,남동구,0,15,2,9,,,,,,,,1,1,
2018-06-30,2814000000,인천광역시,동구,2,90,4,1,,,,,,,,2,42,
2018-06-30,2814000000,인천광역시,동구,2,80,4,2,,,,,,,,3,3,
2018-06-30,2814000000,인천광역시,동구,2,80,3,0,,,,,,,,2,2,
2018-06-30,2814000000,인천광역시,동구,2,80,0,5,,,,,,,,1,1,
2018-06-30,2814000000,인천광역시,동구,2,70,4,8,,,,,,,,3,3,
2018-06-30,2814000000,인천광역시,동구,2,70,4,4,2338,2300,2170,2300,173.8,14.4,2500,222,222,2338
2018-06-30,2814000000,인천광역시,동구,2,70,3,0,1955,1850,1769,1800,148.8,100,3100,40,40,1955
2018-06-30,2814000000,인천광역시,동구,2,70,1,10,,,,,,,,5,5,
2018-06-30,2814000000,인천광역시,동구,2,70,1,5,,,,,,,,7,7,
2018-06-30,2814000000,인천광역시,동구,2,70,0,8,3400,3400,2145,3300,253.9,0.8,3600,11,11,3400
2018-06-30,2814000000,인천광역시,동구,2,70,0,4,2338,2350,2166,2300,174.7,10.7,2500,226,226,2338
2018-06-30,2814000000,인천광역시,동구,2,70,0,0,2724,2000,2560,2000,203.5,100,999900,1814,1880,2629
2018-06-30,2814000000,인천광역시,동구,2,60,4,3,2102,2100,1938,2100,160.4,17.5,2200,678,678,2102
2018-06-30,2814000000,인천광역시,동구,2,60,3,10,,,,,,,,9,9,
2018-06-30,2814000000,인천광역시,동구,2,60,3,6,2784,2800,2321,2700,207.4,9.6,2900,31,31,2784
2018-06-30,2814000000,인천광역시,동구,2,60,2,9,,,,,,,,7,7,
2018-06-30,2814000000,인천광역시,동구,2,60,2,3,,,,,,,,2,2,
2018-06-30,2814000000,인천광역시,동구,2,60,1,8,3373,3300,2936,3200,258.6,11.1,3700,67,67,3373
2018-06-30,2814000000,인천광역시,동구,2,60,1,0,6165,3100,5298,2707,472.6,100,999900,331,331,6165
2018-06-30,2814000000,인천광역시,동구,2,60,0,7,3054,3000,2624,3000,231.7,6.9,3200,254,254,3054
2018-06-30,2814000000,인천광역시,동구,2,60,0,3,2102,2100,1904,2100,159.5,13.7,2200,729,729,2102
2018-06-30,2814000000,인천광역시,동구,2,50,4,6,2772,2800,2529,2700,213.8,20,2900,614,614,2772
2018-06-30,2814000000,인천광역시,동구,2,50,4,2,1840,1800,1003,1290,141.9,1.4,2000,63,63,1840
2018-06-30,2814000000,인천광역시,동구,2,50,3,9,4164,4100,3515,3900,316.2,23.4,4800,154,154,4164
2018-06-30,2814000000,인천광역시,동구,2,50,3,1,1317,1400,634,868,100,2.5,1600,53,53,1317
