기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,평균소득,중위소득,평균처분가능소득,중위처분가능소득,소득분위배율,소득점유율,소득경계값,소득산출인구수,소득미산출인구수,소득미산출 인구포함 평균소득
2019-12-31,2800000000,인천광역시,전체,0,0,0,0,3329,2800,2704,2400,201.4,100,99900,2230291,2306662,3219
2019-12-31,2800000000,인천광역시,전체,0,0,0,1,1653,1700,1500,1500,100,4.7,1900,211452,287823,1215
2019-12-31,2800000000,인천광역시,전체,0,0,0,2,1991,2000,1747,1900,120.4,6.2,2100,230049,230049,1991
2019-12-31,2800000000,인천광역시,전체,0,0,0,3,2273,2300,1936,2200,137.5,7.6,2400,248674,248674,2273
2019-12-31,2800000000,인천광역시,전체,0,0,0,4,2537,2500,2161,2500,153.4,8.6,2700,250741,250741,2537
2019-12-31,2800000000,인천광역시,전체,0,0,0,5,2765,2800,2291,2700,167.2,8.5,2900,229033,229033,2765
2019-12-31,2800000000,인천광역시,전체,0,0,0,6,3035,3000,2503,2900,183.6,9.1,3200,222560,222560,3035
2019-12-31,2800000000,인천광역시,전체,0,0,0,7,3366,3400,2640,3166,203.6,9.8,3600,216344,216344,3366
2019-12-31,2800000000,인천광역시,전체,0,0,0,8,3936,3900,2971,3567,238.1,11.8,4400,222293,222293,3936
2019-12-31,2800000000,인천광역시,전체,0,0,0,9,5013,5000,4061,4500,303.2,14.5,5700,215369,215369,5013
2019-12-31,2800000000,인천광역시,전체,0,0,0,10,7753,6600,5985,5700,468.9,19.2,99900,183776,183776,7753
2019-12-31,2800000000,인천광역시,전체,0,0,1,0,4421,3700,2948,2900,279.3,100,99900,214245,214245,4421
2019-12-31,2800000000,인천광역시,전체,0,0,1,1,1583,1500,704,1296,100,0.3,1900,1691,1691,1583
2019-12-31,2800000000,인천광역시,전체,0,0,1,2,2021,2000,734,1438,127.7,1,2100,4607,4607,2021
2019-12-31,2800000000,인천광역시,전체,0,0,1,3,2283,2300,1024,1578,144.2,1.9,2400,7849,7849,2283
2019-12-31,2800000000,인천광역시,전체,0,0,1,4,2537,2500,1418,1932,160.3,2.7,2700,10172,10172,2537
2019-12-31,2800000000,인천광역시,전체,0,0,1,5,2782,2800,1816,2250,175.8,3.5,2900,12028,12028,2782
2019-12-31,2800000000,인천광역시,전체,0,0,1,6,3047,3000,2108,2539,192.5,7.7,3200,23905,23905,3047
2019-12-31,2800000000,인천광역시,전체,0,0,1,7,3391,3400,2398,2908,214.2,14,3600,39133,39133,3391
2019-12-31,2800000000,인천광역시,전체,0,0,1,8,3897,3800,2421,3087,246.2,21,4400,51007,51007,3897
