기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2020-03-31,2814000000,인천광역시,동구,0,40,0,4,14768047,4667662,93405,9144,3523,677,1615,1325,138,1121037,339245,4561,781,346,120,1436,981,38
2020-03-31,2820000000,인천광역시,남동구,1,0,2,3,2423985,606588,30367,18791,5465,620,129,111,49,196197,48815,1079,1545,531,98,127,92,11
2020-03-31,2814000000,인천광역시,동구,2,15,0,0,2254707,2200404,,2545,2484,,886,886,2,240478,232068,,294,284,,818,818,0
2020-03-31,2820000000,인천광역시,남동구,1,40,3,1,139367,44511,,6968,2473,,20,18,2,13585,5692,,715,407,,19,14,0
2020-03-31,2820000000,인천광역시,남동구,1,40,3,4,12041828,2912976,133580,13937,4138,903,864,704,148,920697,232345,3371,1120,438,91,822,531,37
2020-03-31,2814000000,인천광역시,동구,0,40,1,1,,,,,,,1,0,0,,,,,,,1,0,0
2020-03-31,2814000000,인천광역시,동구,0,40,1,5,1307695,266522,2276,19518,4936,228,67,54,10,87379,19925,456,1387,539,114,63,37,4
2020-03-31,2820000000,인천광역시,남동구,1,50,3,4,5264666,938959,19442,13782,3283,748,382,286,26,540328,76200,700,1493,354,117,362,215,6
2020-03-31,2814000000,인천광역시,동구,0,40,2,0,8883816,1371869,89949,26052,5007,782,341,274,115,729982,104663,9860,2173,476,429,336,220,23
2020-03-31,2820000000,인천광역시,남동구,0,70,4,3,15592435,2709869,53498,6260,2350,645,2491,1153,83,1060232,175202,1662,478,235,208,2220,746,8
2020-03-31,2814000000,인천광역시,동구,2,0,2,7,481271,114934,10749,17188,5224,827,28,22,13,35936,8292,494,1283,436,165,28,19,3
2020-03-31,2814000000,인천광역시,동구,2,0,1,10,5376701,722404,48774,53767,10033,1478,100,72,33,344767,53402,1133,3554,1214,103,97,44,11
2020-03-31,2820000000,인천광역시,남동구,1,50,1,3,3631999,364723,9418,29056,4929,428,125,74,22,270997,27437,330,2258,596,55,120,46,6
2020-03-31,2820000000,인천광역시,남동구,1,0,4,2,104808154,62094846,559924,6891,4806,453,15210,12921,1236,8387205,4826520,35904,603,439,102,13910,10998,353
2020-03-31,2814000000,인천광역시,동구,2,0,1,6,4779293,678714,15396,15172,3535,453,315,192,34,354081,47230,,1184,381,,299,124,1
2020-03-31,2814000000,인천광역시,동구,0,40,4,1,31420,12030,,2856,1719,,11,7,0,,,,,,,1,1,0
2020-03-31,2814000000,인천광역시,동구,0,40,4,9,11278489,2131383,104228,24788,5954,861,455,358,121,855350,164548,2995,1897,621,115,451,265,26
2020-03-31,2820000000,인천광역시,남동구,1,80,4,7,345216,46911,883,12786,3909,221,27,12,4,26442,3529,,979,706,,27,5,1
2020-03-31,2814000000,인천광역시,동구,0,50,0,4,12127210,3492812,37785,7368,2844,420,1646,1228,90,879287,234563,1072,618,286,67,1423,821,16
2020-03-31,2820000000,인천광역시,남동구,0,80,3,1,404314,22933,,7487,1207,,54,19,1,29165,2166,,621,217,,47,10,0
2020-03-31,2814000000,인천광역시,동구,1,80,4,0,791002,223601,2646,3595,2070,882,220,108,3,54136,17520,,332,278,,163,63,0
2020-03-31,2820000000,인천광역시,남동구,1,40,3,5,14476142,3084343,115873,15400,4140,591,940,745,196,1113447,235475,5311,1244,412,98,895,571,54
2020-03-31,2814000000,인천광역시,동구,0,50,1,6,2751768,431043,10534,15459,3748,620,178,115,17,210931,29260,1011,1271,406,337,166,72,3
2020-03-31,2820000000,인천광역시,남동구,1,50,4,3,10489671,4011498,19409,6487,3067,388,1617,1308,50,833446,326139,824,594,343,118,1402,952,7
2020-03-31,2814000000,인천광역시,동구,1,80,1,7,,,,,,,1,1,0,,,,,,,0,0,0
2020-03-31,2820000000,인천광역시,남동구,0,50,3,6,37382939,7403580,196612,15428,3991,618,2423,1855,318,2924061,557882,5624,1249,408,125,2341,1368,45
2020-03-31,2814000000,인천광역시,동구,0,50,2,8,289320,51174,,13777,3412,,21,15,2,22931,4235,,1092,424,,21,10,1
2020-03-31,2814000000,인천광역시,동구,1,70,4,5,408622,94952,960,9966,4522,240,41,21,4,22305,5233,,587,436,,38,12,1
2020-03-31,2820000000,인천광역시,남동구,1,15,3,0,237765,202945,,6097,5204,,39,39,2,25287,17901,,683,484,,37,37,0
2020-03-31,2814000000,인천광역시,동구,1,70,3,8,,,,,,,8,4,1,,,,,,,8,3,0
2020-03-31,2820000000,인천광역시,남동구,0,50,0,2,13314997,2441284,111242,13368,3434,800,996,711,139,1016405,164811,6511,1089,333,543,933,495,12
2020-03-31,2814000000,인천광역시,동구,0,50,4,4,9695031,3137011,29362,6663,2860,408,1455,1097,72,680885,210262,631,549,287,63,1241,733,10
2020-03-31,2820000000,인천광역시,남동구,1,0,2,2,1215024,359815,13522,15987,5291,501,76,68,27,98235,25208,639,1346,494,80,73,51,8
2020-03-31,2814000000,인천광역시,동구,1,70,3,0,1450745,204196,16356,9182,2585,1817,158,79,9,99053,10570,,660,220,,150,48,0
2020-03-31,2814000000,인천광역시,동구,0,60,0,3,10562832,2537090,27613,6005,2454,541,1759,1034,51,791745,192964,797,508,272,114,1559,709,7
