,0
0,004840
1,010060
2,005490
3,002100
4,014530
5,005250
6,006040
7,000020
8,004990
9,008560
10,003850
11,028050
12,004380
13,004490
14,006740
15,023800
16,033240
17,002620
18,009070
19,003070
20,008930
21,003300
22,004560
23,005380
24,001500
25,011150
26,007700
27,012630
28,011790
29,009450
30,014280
31,006280
32,030210
33,006370
34,000430
35,003220
36,003160
37,004000
38,000390
39,004360
40,005950
41,000230
42,007810
43,002020
44,009410
45,009540
46,018880
47,009420
48,000880
49,008770
50,006060
51,016580
52,004800
53,006360
54,006120
55,002720
56,001570
57,014820
58,013570
59,009680
60,035150
61,016360
62,002810
63,000520
64,004980
65,004430
66,003410
67,002790
68,010780
69,025820
70,030000
71,005070
72,036580
73,000240
74,011700
75,012450
76,000120
77,005830
78,000210
79,005940
80,008260
81,017670
82,012610
83,002350
84,008110
85,003490
86,001230
87,001530
88,011170
89,007860
90,004250
91,010120
92,009970
93,006220
94,004910
95,001750
96,002320
97,004020
98,001040
99,016610
100,001940
101,006260
102,001120
103,010950
104,010130
105,000270
106,025860
107,001680
108,016710
109,012510
110,001340
111,003000
112,008490
113,004970
114,019170
115,005850
116,000910
117,000100
118,029460
119,003690
120,005740
121,010820
122,016800
123,002390
124,014680
125,017800
126,009160
127,000050
128,002240
129,009290
130,011780
131,003540
132,002210
133,000150
134,010140
135,015860
136,004720
137,020000
138,012330
139,005010
140,000990
141,001880
142,001060
143,002710
144,002140
145,005720
146,023590
147,003610
148,005930
149,000810
150,006110
151,005680
152,003720
153,005500
154,026890
155,001800
156,007570
157,014580
158,005690
159,017810
160,000140
161,025540
162,017960
163,009830
164,003530
165,004310
166,001450
167,003550
168,005090
169,000320
170,000490
171,003090
172,015230
173,024090
174,006800
175,006400
176,009150
177,012750
178,000700
179,000220
180,008730
181,011000
182,033780
183,015890
184,004090
185,000970
186,005440
187,010620
188,010690
189,078930
190,090350
191,047040
192,010960
193,055550
194,081000
195,009240
196,064960
197,035250
198,036570
199,071050
200,066570
201,037270
202,058730
203,088980
204,071090
205,086280
206,051900
207,051910
208,034310
209,069620
210,006890
211,069260
212,042670
213,042660
214,084010
215,021240
216,024720
217,079430
218,069960
219,034020
220,033530
221,047050
222,042700
223,093370
224,090430
225,077500
226,074610
227,011500
228,083420
229,024110
230,084690
231,007660
232,058860
233,011070
234,136490
235,078520
236,033270
237,007070
238,105560
239,117580
240,138490
241,128940
242,102260
243,138040
244,161000
245,112610
246,111770
247,102460
248,161890
249,053690
250,103590
251,047810
252,052690
253,081660
254,058850
255,192820
256,039490
257,123690
258,130660
259,180640
260,034730
261,020150
262,051600
263,114090
264,175330
265,035420
266,185750
267,100250
268,103140
269,105630
270,178920
271,353200
272,336260
273,293940
274,271560
275,336370
276,003670
277,207940
278,383220
279,075580
280,068270
281,322000
282,108320
283,267850
284,035720
285,450140
286,272210
287,195870
288,145720
289,317400
290,357120
291,241590
292,097520
293,334890
294,249420
295,307950
296,432320
297,192650
